date,direction,start_time,end_time,duration_s,num_bins,peak_time,peak_vx,peak_abs_vx,mean_vx,mean_vy,mean_vz
2017-01-04,tailward_fastflow_candidate,2017-01-04 05:08:30,2017-01-04 05:12:30,245.0,49,2017-01-04 05:10:55,-357.51165771484375,357.51165771484375,-337.696330790617,-20.200738259724208,20.266871179853165
2017-01-04,tailward_fastflow_candidate,2017-01-04 05:12:45,2017-01-04 05:14:15,95.0,19,2017-01-04 05:13:10,-348.86456298828125,348.86456298828125,-330.71269627621297,-12.729001145613822,31.334794094688014
2017-01-04,tailward_fastflow_candidate,2017-01-04 05:14:25,2017-01-04 05:33:55,1175.0,235,2017-01-04 05:32:15,-402.4994812011719,402.4994812011719,-357.7022938180477,-15.028693823405403,3.1733865514714665
2017-01-04,tailward_fastflow_candidate,2017-01-04 09:09:30,2017-01-04 09:09:40,15.0,3,2017-01-04 09:09:30,-351.8135986328125,351.8135986328125,-330.7330017089844,103.7428601582845,-14.245966593424479
2017-01-04,tailward_fastflow_candidate,2017-01-04 09:21:50,2017-01-04 09:21:55,10.0,2,2017-01-04 09:21:55,-353.67132568359375,353.67132568359375,-344.1543273925781,-32.90080165863037,-65.0943717956543
2017-01-04,tailward_fastflow_candidate,2017-01-04 09:55:40,2017-01-04 09:55:45,10.0,2,2017-01-04 09:55:45,-329.3439178466797,329.3439178466797,-326.47904205322266,106.37548160552979,-75.26884841918945
2017-01-04,tailward_fastflow_candidate,2017-01-04 10:01:05,2017-01-04 10:03:45,165.0,33,2017-01-04 10:02:25,-445.1112976074219,445.1112976074219,-401.70008850097656,66.70551626610033,-1.5956200830864185
2017-01-04,tailward_fastflow_candidate,2017-01-04 10:18:30,2017-01-04 10:19:15,50.0,10,2017-01-04 10:19:10,-409.3365783691406,409.3365783691406,-364.6437652587891,62.73568553924561,-28.987934517860413
2017-01-04,tailward_fastflow_candidate,2017-01-04 10:19:25,2017-01-04 10:19:40,20.0,4,2017-01-04 10:19:30,-349.1160583496094,349.1160583496094,-328.42406463623047,52.914485454559326,-23.10969591140747
2017-01-04,tailward_fastflow_candidate,2017-01-04 10:19:50,2017-01-04 10:20:05,20.0,4,2017-01-04 10:20:05,-378.662353515625,378.662353515625,-375.02310943603516,88.10831069946289,-27.111501216888428
2017-01-04,tailward_fastflow_candidate,2017-01-04 10:20:15,2017-01-04 10:20:20,10.0,2,2017-01-04 10:20:15,-338.0250244140625,338.0250244140625,-330.69189453125,141.37841033935547,-12.622016429901123
2017-01-04,tailward_fastflow_candidate,2017-01-04 10:20:30,2017-01-04 10:20:35,10.0,2,2017-01-04 10:20:35,-345.9311828613281,345.9311828613281,-335.3724899291992,106.82236099243164,29.13906478881836
2017-01-04,tailward_fastflow_candidate,2017-01-04 10:20:45,2017-01-04 10:21:10,30.0,6,2017-01-04 10:21:10,-431.3822021484375,431.3822021484375,-363.18055216471356,85.29978624979655,69.69354724884033
2017-01-04,tailward_fastflow_candidate,2017-01-04 11:33:20,2017-01-04 11:33:35,20.0,4,2017-01-04 11:33:20,-343.0361633300781,343.0361633300781,-326.8062515258789,48.975422859191895,49.44837188720703
2017-01-05,tailward_fastflow_candidate,2017-01-05 04:30:45,2017-01-05 04:31:10,30.0,6,2017-01-05 04:30:50,-444.3698425292969,444.3698425292969,-390.7609380086263,-30.13189633687337,11.629583676656088
